id,nombre,email,departamento,salario,activo
1,Empleado 1,emp1@empresa.com,Ventas,31752.21,yes
2,Empleado 2,emp2@empresa.com,Ventas,47870.27,no
3,Empleado 3,emp3@empresa.com,Ventas,66895.95,no
4,Empleado 4,emp4@empresa.com,RRHH,41221.37,no
5,Empleado 5,emp5@empresa.com,Ventas,41785.23,no
6,Empleado 6,emp6@empresa.com,RRHH,46456.43,yes
7,Empleado 7,emp7@empresa.com,Ventas,68315.78,yes
8,Empleado 8,emp8@empresa.com,Sistemas,76984.32,yes
9,Empleado 9,emp9@empresa.com,Finanzas,46216.12,yes
10,Empleado 10,emp10@empresa.com,Finanzas,34713.28,no
11,Empleado 11,emp11@empresa.com,Sistemas,44771.29,no
12,Empleado 12,emp12@empresa.com,Finanzas,32686.88,yes
13,Empleado 13,emp13@empresa.com,RRHH,33296.71,no
14,Empleado 14,emp14@empresa.com,RRHH,43382.13,no
15,Empleado 15,emp15@empresa.com,Finanzas,69076.62,yes
16,Empleado 16,emp16@empresa.com,Ventas,36226.38,no
17,Empleado 17,emp17@empresa.com,Sistemas,67443.11,yes
18,Empleado 18,emp18@empresa.com,Ventas,39481.81,yes
19,Empleado 19,emp19@empresa.com,Ventas,42510.6,yes
20,Empleado 20,emp20@empresa.com,Finanzas,72537.04,yes
21,Empleado 21,emp21@empresa.com,Sistemas,32218.53,no
22,Empleado 22,emp22@empresa.com,RRHH,51763.34,no
23,Empleado 23,emp23@empresa.com,Finanzas,68540.01,no
24,Empleado 24,emp24@empresa.com,Finanzas,78556.89,no
25,Empleado 25,emp25@empresa.com,Ventas,55463.09,yes
26,Empleado 26,emp26@empresa.com,Ventas,43117.77,no
27,Empleado 27,emp27@empresa.com,Ventas,38101.8,no
28,Empleado 28,emp28@empresa.com,Sistemas,47383.57,yes
29,Empleado 29,emp29@empresa.com,Finanzas,59275.77,yes
30,Empleado 30,emp30@empresa.com,Ventas,48042.42,yes
31,Empleado 31,emp31@empresa.com,Ventas,67322.02,no
32,Empleado 32,emp32@empresa.com,Sistemas,37802.62,yes
33,Empleado 33,emp33@empresa.com,Finanzas,68326.16,no
34,Empleado 34,emp34@empresa.com,RRHH,39177.93,no
35,Empleado 35,emp35@empresa.com,Ventas,37589.97,yes
36,Empleado 36,emp36@empresa.com,Ventas,45420.79,no
37,Empleado 37,emp37@empresa.com,RRHH,70345.31,no
38,Empleado 38,emp38@empresa.com,Finanzas,64986.29,yes
39,Empleado 39,emp39@empresa.com,Ventas,50899.34,no
40,Empleado 40,emp40@empresa.com,Finanzas,77715.42,no
41,Empleado 41,emp41@empresa.com,RRHH,64725.04,yes
42,Empleado 42,emp42@empresa.com,Finanzas,73095.03,no
43,Empleado 43,emp43@empresa.com,Finanzas,34643.17,no
44,Empleado 44,emp44@empresa.com,Finanzas,60831.18,yes
45,Empleado 45,emp45@empresa.com,Ventas,62032.97,yes
46,Empleado 46,emp46@empresa.com,Sistemas,79638.38,no
47,Empleado 47,emp47@empresa.com,Ventas,79555.43,no
48,Empleado 48,emp48@empresa.com,RRHH,78982.25,yes
49,Empleado 49,emp49@empresa.com,RRHH,37765.51,no
50,Empleado 50,emp50@empresa.com,RRHH,73078.79,no
51,Empleado 51,emp51@empresa.com,Sistemas,34845.94,yes
52,Empleado 52,emp52@empresa.com,RRHH,45476.56,yes
53,Empleado 53,emp53@empresa.com,Sistemas,71303.03,yes
54,Empleado 54,emp54@empresa.com,Sistemas,57622.22,yes
55,Empleado 55,emp55@empresa.com,Sistemas,52224.35,yes
56,Empleado 56,emp56@empresa.com,Ventas,56645.86,yes
57,Empleado 57,emp57@empresa.com,Ventas,67907.62,yes
58,Empleado 58,emp58@empresa.com,RRHH,49077.11,no
59,Empleado 59,emp59@empresa.com,RRHH,37282.22,no
60,Empleado 60,emp60@empresa.com,Sistemas,38942.35,yes
61,Empleado 61,emp61@empresa.com,Finanzas,61243.04,no
62,Empleado 62,emp62@empresa.com,Ventas,35613.11,no
63,Empleado 63,emp63@empresa.com,Ventas,55808.42,yes
64,Empleado 64,emp64@empresa.com,Sistemas,42636.98,no
65,Empleado 65,emp65@empresa.com,Finanzas,68891.58,yes
66,Empleado 66,emp66@empresa.com,Ventas,74205.34,yes
67,Empleado 67,emp67@empresa.com,Finanzas,70251.52,no
68,Empleado 68,emp68@empresa.com,Sistemas,78177.31,no
69,Empleado 69,emp69@empresa.com,RRHH,71141.07,yes
70,Empleado 70,emp70@empresa.com,RRHH,44687.6,yes
71,Empleado 71,emp71@empresa.com,Ventas,43391.61,no
72,Empleado 72,emp72@empresa.com,Ventas,33267.29,no
73,Empleado 73,emp73@empresa.com,Ventas,57712.79,yes
74,Empleado 74,emp74@empresa.com,Ventas,58974.75,yes
75,Empleado 75,emp75@empresa.com,RRHH,63454.64,yes
76,Empleado 76,emp76@empresa.com,Finanzas,59608.09,yes
77,Empleado 77,emp77@empresa.com,Finanzas,63604.6,yes
78,Empleado 78,emp78@empresa.com,RRHH,44366.26,no
79,Empleado 79,emp79@empresa.com,RRHH,58413.06,yes
80,Empleado 80,emp80@empresa.com,Finanzas,68938.97,no
81,Empleado 81,emp81@empresa.com,RRHH,46299.87,yes
82,Empleado 82,emp82@empresa.com,RRHH,70143.54,no
83,Empleado 83,emp83@empresa.com,Finanzas,41032.91,yes
84,Empleado 84,emp84@empresa.com,Ventas,57290.25,yes
85,Empleado 85,emp85@empresa.com,RRHH,70524.61,no
86,Empleado 86,emp86@empresa.com,RRHH,59621.75,no
87,Empleado 87,emp87@empresa.com,Finanzas,54839.96,no
88,Empleado 88,emp88@empresa.com,Sistemas,65918.15,no
89,Empleado 89,emp89@empresa.com,RRHH,53036.36,yes
90,Empleado 90,emp90@empresa.com,Ventas,37762.55,yes
91,Empleado 91,emp91@empresa.com,Sistemas,56275.3,no
92,Empleado 92,emp92@empresa.com,Finanzas,60331.47,no
93,Empleado 93,emp93@empresa.com,Sistemas,37317.88,yes
94,Empleado 94,emp94@empresa.com,Ventas,43941.86,yes
95,Empleado 95,emp95@empresa.com,Ventas,64564.94,no
96,Empleado 96,emp96@empresa.com,Finanzas,52627.88,no
97,Empleado 97,emp97@empresa.com,Sistemas,38840.66,yes
98,Empleado 98,emp98@empresa.com,RRHH,78797.92,yes
99,Empleado 99,emp99@empresa.com,Finanzas,53399.51,no
100,Empleado 100,emp100@empresa.com,Sistemas,47376.57,yes
101,Empleado 101,emp101@empresa.com,Sistemas,67183.67,yes
102,Empleado 102,emp102@empresa.com,Finanzas,72950.55,no
103,Empleado 103,emp103@empresa.com,Ventas,36233.66,yes
104,Empleado 104,emp104@empresa.com,RRHH,64296.8,yes
105,Empleado 105,emp105@empresa.com,Finanzas,57039.64,no
106,Empleado 106,emp106@empresa.com,Ventas,61642.95,no
107,Empleado 107,emp107@empresa.com,Finanzas,75568.08,yes
108,Empleado 108,emp108@empresa.com,Sistemas,49617.36,yes
109,Empleado 109,emp109@empresa.com,Sistemas,59811.08,yes
110,Empleado 110,emp110@empresa.com,RRHH,31004.26,no
111,Empleado 111,emp111@empresa.com,Finanzas,37972.2,yes
112,Empleado 112,emp112@empresa.com,Sistemas,72055.48,yes
113,Empleado 113,emp113@empresa.com,Sistemas,65392.07,no
114,Empleado 114,emp114@empresa.com,Sistemas,79832.17,no
115,Empleado 115,emp115@empresa.com,Sistemas,38079.49,no
116,Empleado 116,emp116@empresa.com,Ventas,60990.06,yes
117,Empleado 117,emp117@empresa.com,Sistemas,66668.29,yes
118,Empleado 118,emp118@empresa.com,Finanzas,64279.23,yes
119,Empleado 119,emp119@empresa.com,Finanzas,59352.09,yes
120,Empleado 120,emp120@empresa.com,Sistemas,35822.78,yes
121,Empleado 121,emp121@empresa.com,Ventas,38430.52,no
122,Empleado 122,emp122@empresa.com,Ventas,62653.07,no
123,Empleado 123,emp123@empresa.com,Finanzas,45248.43,yes
124,Empleado 124,emp124@empresa.com,Sistemas,68599.12,yes
125,Empleado 125,emp125@empresa.com,Finanzas,34478.95,yes
126,Empleado 126,emp126@empresa.com,Finanzas,60966.76,no
127,Empleado 127,emp127@empresa.com,RRHH,39849.44,yes
128,Empleado 128,emp128@empresa.com,Sistemas,34579.88,yes
129,Empleado 129,emp129@empresa.com,Finanzas,57805.99,no
130,Empleado 130,emp130@empresa.com,RRHH,40537.21,no
131,Empleado 131,emp131@empresa.com,RRHH,30966.69,no
132,Empleado 132,emp132@empresa.com,Ventas,49197.8,no
133,Empleado 133,emp133@empresa.com,Ventas,33644.85,no
134,Empleado 134,emp134@empresa.com,RRHH,74536.18,yes
135,Empleado 135,emp135@empresa.com,Sistemas,50218.48,no
136,Empleado 136,emp136@empresa.com,Sistemas,50741.88,no
137,Empleado 137,emp137@empresa.com,Finanzas,45142.44,no
138,Empleado 138,emp138@empresa.com,Ventas,60760.72,no
139,Empleado 139,emp139@empresa.com,Sistemas,71976.33,yes
140,Empleado 140,emp140@empresa.com,Sistemas,53294.36,yes
141,Empleado 141,emp141@empresa.com,Sistemas,37641.26,no
142,Empleado 142,emp142@empresa.com,RRHH,48022.21,no
143,Empleado 143,emp143@empresa.com,Ventas,39718.14,yes
144,Empleado 144,emp144@empresa.com,Finanzas,79987.74,no
145,Empleado 145,emp145@empresa.com,Sistemas,51873.39,no
146,Empleado 146,emp146@empresa.com,Sistemas,32066.33,yes
147,Empleado 147,emp147@empresa.com,RRHH,42803.36,no
148,Empleado 148,emp148@empresa.com,Finanzas,39327.26,yes
149,Empleado 149,emp149@empresa.com,Finanzas,47510.04,no
150,Empleado 150,emp150@empresa.com,Finanzas,54425.66,yes
151,Empleado 151,emp151@empresa.com,RRHH,50165.26,yes
152,Empleado 152,emp152@empresa.com,Finanzas,57716.1,no
153,Empleado 153,emp153@empresa.com,Finanzas,75435.15,yes
154,Empleado 154,emp154@empresa.com,Finanzas,77447.0,yes
155,Empleado 155,emp155@empresa.com,Sistemas,42828.64,yes
156,Empleado 156,emp156@empresa.com,Ventas,31269.3,yes
157,Empleado 157,emp157@empresa.com,RRHH,75715.4,yes
158,Empleado 158,emp158@empresa.com,Ventas,42847.89,yes
159,Empleado 159,emp159@empresa.com,RRHH,76558.34,no
160,Empleado 160,emp160@empresa.com,Sistemas,65316.02,yes
